Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
-,BIOHAZARD INFINITE DARKNESS,4,Game,None,-,ONA,"TMS Entertainment,             Quebico",6.32,3150 ,Ranked #6951,Popularity #5710,7776,https://myanimelist.net/anime/42976/Biohazard__Infinite_Darkness,Horror
Twilight Of The Dark Master,支配者の黄昏,1,Manga,R+ - Mild Nudity,-,OVA,"Madhouse,             Production Reed",5.82,3200 ,Ranked #9090,Popularity #5725,7722,https://myanimelist.net/anime/1245/Shihaisha_no_Tasogare,Horror
-,魔法少女アイ,5,Visual novel,Rx - Hentai,-,OVA,-,6.52,2546 ,Ranked N/A,Popularity #5743,7644,https://myanimelist.net/anime/2988/Mahou_Shoujo_Ai,Horror
Sci-fi Harry,サイファイハリー,20,Manga,R - 17+ (violence & profanity),Fall 2000,TV,APPP,6.20,1967 ,Ranked #7536,Popularity #5755,7607,https://myanimelist.net/anime/1508/Sci-fi_Harry,Horror
Blood Reign: Curse of the Yoma,妖魔,2,Manga,R - 17+ (violence & profanity),-,OVA,J.C.Staff,6.09,3032 ,Ranked #8107,Popularity #5839,7362,https://myanimelist.net/anime/1484/Youma,Horror
The Guyver: Bio-Booster Armor,強殖装甲ガイバー II,6,Unknown,R - 17+ (violence & profanity),-,OVA,-,7.03,3626 ,Ranked #3616,Popularity #5857,7313,https://myanimelist.net/anime/1336/Kyoushoku_Soukou_Guyver_II,Horror
-,バイオハザード4 Incubate,1,Game,R - 17+ (violence & profanity),-,OVA,-,6.16,2898 ,Ranked #7760,Popularity #5962,6998,https://myanimelist.net/anime/8278/Biohazard_4__Incubate,Horror
-,劇場版BEM 〜BECOME HUMAN〜,1,Original,None,-,Movie,Production I.G,6.80,1517 ,Ranked #4535,Popularity #5995,6997,https://myanimelist.net/anime/42129/Bem_Movie__Become_Human,Horror
Violence Jack: Hell's Wind,バイオレンス ジャック 〜ヘルスウインド編〜,1,Manga,R+ - Mild Nudity,-,OVA,Studio 88,5.47,3642 ,Ranked #10204,Popularity #5996,6934,https://myanimelist.net/anime/1343/Violence_Jack__Hells_Wind-hen,Horror
-,「DEVILMAN crybaby」ダイジェスト映像,1,Manga,PG-13 - Teens 13 or older,-,ONA,Science SARU,5.95,1594 ,Ranked #8679,Popularity #6064,6764,https://myanimelist.net/anime/37590/Devilman__Crybaby_-_Digest_Eizou,Horror
